ポイント,総局数,連対率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点
-56.7,319.0,0.51,60300.0,6402.94,0.34,0.23,0.21,0.09,6293.54
-384.1,267.0,0.34,68600.0,6964.86,0.16,0.23,0.13,0.14,5505.12
132.0,344.0,0.57,56400.0,6538.35,0.27,0.19,0.21,0.11,5975.6
45.0,132.0,0.41,60500.0,6122.58,0.24,0.21,0.23,0.1,5357.14
49.4,278.0,0.66,53800.0,7301.72,0.15,0.24,0.2,0.11,5596.77
197.1,292.0,0.56,50500.0,6817.85,0.25,0.18,0.19,0.1,5373.33
213.7,330.0,0.53,62300.0,6994.28,0.17,0.23,0.21,0.1,4738.23
-275.8,219.0,0.38,66700.0,6579.48,0.18,0.18,0.17,0.12,6122.22
-139.7,222.0,0.33,48500.0,6769.44,0.15,0.2,0.16,0.11,5344.0
-261.8,178.0,0.37,50500.0,5938.88,0.17,0.21,0.2,0.13,6416.66
399.7,326.0,0.69,49500.0,5962.31,0.22,0.17,0.21,0.05,5727.77
178.8,342.0,0.53,61800.0,6253.24,0.24,0.18,0.22,0.09,6497.05
294.2,292.0,0.66,62600.0,7455.73,0.15,0.18,0.2,0.09,5427.58
-77.3,305.0,0.44,60200.0,7828.26,0.17,0.24,0.15,0.1,5262.5
-237.4,252.0,0.25,64500.0,6304.16,0.18,0.16,0.19,0.1,6534.61
269.5,261.0,0.57,105500.0,6937.28,0.24,0.23,0.22,0.1,5155.55
242.2,297.0,0.64,51900.0,6142.85,0.21,0.2,0.21,0.06,5245.0
108.8,280.0,0.47,50500.0,6872.22,0.23,0.18,0.19,0.1,5107.14
145.7,299.0,0.6,80200.0,6797.14,0.21,0.2,0.23,0.07,6495.45
-168.5,198.0,0.29,51300.0,6060.0,0.16,0.23,0.17,0.08,5941.17
-128.7,299.0,0.38,58800.0,6450.0,0.24,0.17,0.2,0.09,6150.0
5.4,264.0,0.45,64400.0,7444.44,0.17,0.17,0.17,0.1,5229.62
251.6,339.0,0.65,62100.0,8083.82,0.18,0.26,0.2,0.12,5569.76
55.9,188.0,0.43,77200.0,6513.33,0.2,0.22,0.23,0.13,4712.0
-394.0,259.0,0.31,44700.0,7347.36,0.12,0.28,0.14,0.1,4919.23
-405.5,250.0,0.33,48400.0,6928.57,0.14,0.26,0.14,0.16,4992.68
-148.8,293.0,0.47,53500.0,6701.92,0.06,0.23,0.17,0.11,5345.45
-307.8,292.0,0.37,47400.0,6379.54,0.2,0.21,0.15,0.11,5382.35
154.1,352.0,0.51,54200.0,6103.75,0.34,0.17,0.22,0.09,5266.66
68.8,297.0,0.56,102400.0,6234.32,0.24,0.22,0.22,0.09,6989.28
-286.4,201.0,0.29,58600.0,5948.64,0.25,0.21,0.18,0.09,6125.0
440.6,237.0,0.85,66100.0,6228.12,0.2,0.28,0.27,0.05,4169.23
